task,n_demos,trial_id,seed,success,n_waypoints_executed,parse_error,execution_error
take_lid_off_saucepan,2,13,1013,True,9,,
take_lid_off_saucepan,2,14,1014,False,10,,
take_lid_off_saucepan,2,15,1015,False,10,,
take_lid_off_saucepan,2,16,1016,True,10,,
take_lid_off_saucepan,2,17,1017,False,9,,
take_lid_off_saucepan,2,18,1018,False,9,,
take_lid_off_saucepan,2,19,1019,False,10,,
take_lid_off_saucepan,2,20,1020,False,10,,
take_lid_off_saucepan,2,21,1021,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,2,22,1022,True,10,,
take_lid_off_saucepan,2,23,1023,False,9,,
take_lid_off_saucepan,2,24,1024,False,10,,
take_lid_off_saucepan,5,0,1000,True,10,,
take_lid_off_saucepan,5,1,1001,False,10,,
take_lid_off_saucepan,5,2,1002,False,10,,
take_lid_off_saucepan,5,3,1003,True,10,,
take_lid_off_saucepan,5,4,1004,False,10,,
take_lid_off_saucepan,5,5,1005,False,10,,
take_lid_off_saucepan,5,6,1006,False,10,,
take_lid_off_saucepan,5,7,1007,True,10,,
take_lid_off_saucepan,5,8,1008,False,10,,
take_lid_off_saucepan,5,9,1009,False,10,,
take_lid_off_saucepan,5,10,1010,True,10,,
take_lid_off_saucepan,5,11,1011,False,10,,
take_lid_off_saucepan,5,12,1012,False,10,,
take_lid_off_saucepan,5,13,1013,True,10,,
take_lid_off_saucepan,5,14,1014,False,10,,
take_lid_off_saucepan,5,15,1015,False,10,,
take_lid_off_saucepan,5,16,1016,False,10,,
take_lid_off_saucepan,5,17,1017,False,10,,
take_lid_off_saucepan,5,18,1018,False,10,,
take_lid_off_saucepan,5,19,1019,True,10,,
take_lid_off_saucepan,5,20,1020,False,10,,
take_lid_off_saucepan,5,21,1021,True,10,,
take_lid_off_saucepan,5,22,1022,False,10,,
take_lid_off_saucepan,5,23,1023,False,10,,
take_lid_off_saucepan,5,24,1024,False,9,,
take_lid_off_saucepan,10,0,1000,True,10,,
take_lid_off_saucepan,10,1,1001,False,10,,
take_lid_off_saucepan,10,2,1002,True,10,,
take_lid_off_saucepan,10,3,1003,False,10,,
take_lid_off_saucepan,10,4,1004,False,10,,
take_lid_off_saucepan,10,5,1005,False,10,,
take_lid_off_saucepan,10,6,1006,True,10,,
take_lid_off_saucepan,10,7,1007,False,10,,
take_lid_off_saucepan,10,8,1008,False,10,,
take_lid_off_saucepan,10,9,1009,False,10,,
take_lid_off_saucepan,10,10,1010,True,10,,
take_lid_off_saucepan,10,11,1011,False,10,,
take_lid_off_saucepan,10,12,1012,False,10,,
take_lid_off_saucepan,10,13,1013,False,10,,
take_lid_off_saucepan,10,14,1014,False,10,,
take_lid_off_saucepan,10,15,1015,False,10,,
take_lid_off_saucepan,10,16,1016,True,10,,
take_lid_off_saucepan,10,17,1017,False,10,,
take_lid_off_saucepan,10,18,1018,False,10,,
take_lid_off_saucepan,10,19,1019,True,10,,
take_lid_off_saucepan,10,20,1020,True,10,,
take_lid_off_saucepan,10,21,1021,True,10,,
take_lid_off_saucepan,10,22,1022,False,10,,
take_lid_off_saucepan,10,23,1023,True,10,,
take_lid_off_saucepan,10,24,1024,False,10,,
take_lid_off_saucepan,20,0,1000,False,10,,
take_lid_off_saucepan,20,1,1001,False,10,,
take_lid_off_saucepan,20,2,1002,False,10,,
take_lid_off_saucepan,20,3,1003,True,10,,
take_lid_off_saucepan,20,4,1004,False,10,,
take_lid_off_saucepan,20,5,1005,False,10,,
take_lid_off_saucepan,20,6,1006,False,10,,
take_lid_off_saucepan,20,7,1007,False,10,,
take_lid_off_saucepan,20,8,1008,False,10,,
take_lid_off_saucepan,20,9,1009,False,10,,
take_lid_off_saucepan,20,10,1010,False,10,,
take_lid_off_saucepan,20,11,1011,True,10,,
take_lid_off_saucepan,20,12,1012,False,10,,
take_lid_off_saucepan,20,13,1013,False,10,,
take_lid_off_saucepan,20,14,1014,False,10,,
take_lid_off_saucepan,20,15,1015,False,10,,
take_lid_off_saucepan,20,16,1016,False,1,,Step 1: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
take_lid_off_saucepan,20,17,1017,True,10,,
take_lid_off_saucepan,20,18,1018,False,10,,
take_lid_off_saucepan,20,19,1019,False,10,,
take_lid_off_saucepan,20,20,1020,False,10,,
take_lid_off_saucepan,20,21,1021,False,10,,
take_lid_off_saucepan,20,22,1022,False,10,,
take_lid_off_saucepan,20,23,1023,False,10,,
take_lid_off_saucepan,20,24,1024,False,10,,
stack_blocks,1,0,1000,False,10,,
stack_blocks,1,1,1001,False,10,,
stack_blocks,1,2,1002,False,10,,
stack_blocks,1,3,1003,False,7,,Step 7: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
stack_blocks,1,4,1004,False,6,,Step 6: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
stack_blocks,1,5,1005,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
stack_blocks,1,6,1006,False,10,,
stack_blocks,1,7,1007,False,10,,
stack_blocks,1,8,1008,False,10,,
stack_blocks,1,9,1009,False,10,,
stack_blocks,1,10,1010,False,1,,Step 1: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
stack_blocks,1,11,1011,False,0,,Step 0: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
stack_blocks,1,12,1012,False,6,,Step 6: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
stack_blocks,1,13,1013,False,3,,Step 3: InvalidActionError: A path could not be found. Most likely due to the target being inaccessible or a collison was detected.
stack_blocks,1,14,1014,False,10,,
